minutes,validation,test_month,train_n,val_n,test_n,fog_targets,best_epoch,gru_rmse,gru_mae,persistence_rmse,persistence_mae,fog_gru_mae,fog_persistence_mae,predicted_fog_n
10,seasonal_all_targets,6,5794,1527,1096,36,28,22.953519821166992,18.4814395904541,13.514742851257324,9.407240867614746,14.734992027282715,3.07883358001709,14
10,seasonal_all_targets,12,5794,1527,492,164,28,17.482160568237305,14.025086402893066,11.108522415161133,4.548611640930176,12.365761756896973,0.3253895342350006,0
10,seasonal_all_targets,all,5794,1527,1588,200,28,21.408390045166016,17.100757598876953,12.817625999450684,7.901922702789307,12.792223930358887,0.8210094571113586,14
30,seasonal_all_targets,6,4051,1074,634,27,30,22.1162109375,18.293710708618164,13.516983985900879,9.352899551391602,14.428089141845703,3.1066670417785645,0
30,seasonal_all_targets,12,4051,1074,424,137,30,18.4491024017334,14.82259464263916,10.520386695861816,4.482359409332275,12.688040733337402,0.8917883634567261,0
30,seasonal_all_targets,all,4051,1074,1058,164,30,20.72465705871582,16.902639389038086,12.403315544128418,7.4010009765625,12.97451114654541,1.2564330101013184,0
10,march_september,6,1920,508,358,12,30,24.52195167541504,20.239648818969727,13.659042358398438,9.411243438720703,13.118408203125,1.4784165620803833,3
10,march_september,12,1920,508,159,52,30,24.330339431762695,20.56189727783203,11.999266624450684,4.898402690887451,16.726322174072266,0.20817306637763977,0
10,march_september,all,1920,508,517,64,30,24.46318244934082,20.338756561279297,13.170880317687988,8.023348808288574,16.04983901977539,0.4463437497615814,3
30,march_september,6,1920,508,358,12,30,23.85184097290039,19.541223526000977,13.659042358398438,9.411243438720703,8.091994285583496,1.4784165620803833,1
30,march_september,12,1920,508,159,52,30,23.653696060180664,19.53319549560547,11.999266624450684,4.898402690887451,16.706520080566406,0.20817306637763977,1
30,march_september,all,1920,508,517,64,30,23.791080474853516,19.538755416870117,13.170880317687988,8.023348808288574,15.09129524230957,0.4463437497615814,2
10,october,6,2216,212,358,12,30,23.154191970825195,19.418535232543945,13.659042358398438,9.411243438720703,13.099432945251465,1.4784165620803833,5
10,october,12,2216,212,159,52,30,23.466583251953125,20.252256393432617,11.999266624450684,4.898402690887451,17.705232620239258,0.20817306637763977,0
10,october,all,2216,212,517,64,30,23.250713348388672,19.674942016601562,13.170880317687988,8.023348808288574,16.841644287109375,0.4463437497615814,5
30,october,6,2216,212,358,12,30,22.548526763916016,18.684568405151367,13.659042358398438,9.411243438720703,9.31436824798584,1.4784165620803833,0
30,october,12,2216,212,159,52,30,21.881452560424805,17.152355194091797,11.999266624450684,4.898402690887451,13.768640518188477,0.20817306637763977,4
30,october,all,2216,212,517,64,30,22.34549331665039,18.213346481323242,13.170880317687988,8.023348808288574,12.933464050292969,0.4463437497615814,4
10,october_nov_dec_shared,11,2536,212,38,6,30,18.869949340820312,16.00958251953125,6.722631454467773,4.212368488311768,16.211862564086914,0.20233333110809326,0
10,october_nov_dec_shared,12,2536,212,159,52,30,22.901731491088867,19.803983688354492,11.999266624450684,4.898402690887451,17.665725708007812,0.20817306637763977,0
10,october_nov_dec_shared,all,2536,212,197,58,30,22.181148529052734,19.07206916809082,11.177062034606934,4.766071319580078,17.51532554626465,0.20756895840168,0
30,october_nov_dec_shared,11,2536,212,38,6,30,19.207185745239258,14.786165237426758,6.722631454467773,4.212368488311768,15.741005897521973,0.20233333110809326,0
30,october_nov_dec_shared,12,2536,212,159,52,30,21.128395080566406,16.933826446533203,11.999266624450684,4.898402690887451,14.793109893798828,0.20817306637763977,1
30,october_nov_dec_shared,all,2536,212,197,58,30,20.771642684936523,16.51955795288086,11.177062034606934,4.766071319580078,14.891167640686035,0.20756895840168,1
10,original_all_targets,11,7716,650,113,24,27,14.252325057983398,11.093164443969727,6.306142807006836,4.033425331115723,9.575453758239746,0.2004895955324173,0
10,original_all_targets,12,7716,650,496,167,27,17.668977737426758,14.390718460083008,11.064169883728027,4.520554065704346,11.88500690460205,0.33781367540359497,0
10,original_all_targets,all,7716,650,609,191,27,17.08671760559082,13.778857231140137,10.347967147827148,4.430167198181152,11.59480094909668,0.3205583095550537,0
