threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,35,1975,59,3713,0.017412935323383085,0.3723404255319149,0.016916384726921217
0.02,27,1360,67,4328,0.01946647440519106,0.2872340425531915,0.018569463548830812
0.03,25,1025,69,4663,0.023809523809523808,0.26595744680851063,0.022341376228775692
0.04,24,818,70,4870,0.028503562945368172,0.2553191489361702,0.02631578947368421
0.05,17,648,77,5040,0.02556390977443609,0.18085106382978725,0.022911051212938006
0.06,12,524,82,5164,0.022388059701492536,0.1276595744680851,0.019417475728155338
0.07,9,430,85,5258,0.02050113895216401,0.09574468085106383,0.01717557251908397
0.08,9,380,85,5308,0.02313624678663239,0.09574468085106383,0.0189873417721519
0.09,9,323,85,5365,0.02710843373493976,0.09574468085106383,0.02158273381294964
0.1,9,282,85,5406,0.030927835051546393,0.09574468085106383,0.023936170212765957
0.11,9,252,85,5436,0.034482758620689655,0.09574468085106383,0.02601156069364162
0.12,9,230,85,5458,0.03765690376569038,0.09574468085106383,0.027777777777777776
0.13,9,197,85,5491,0.043689320388349516,0.09574468085106383,0.030927835051546393
0.14,9,164,85,5524,0.05202312138728324,0.09574468085106383,0.03488372093023256
0.15,9,137,85,5551,0.06164383561643835,0.09574468085106383,0.03896103896103896
0.16,9,119,85,5569,0.0703125,0.09574468085106383,0.04225352112676056
0.17,9,106,85,5582,0.0782608695652174,0.09574468085106383,0.045
0.18,8,96,86,5592,0.07692307692307693,0.0851063829787234,0.042105263157894736
0.19,7,88,87,5600,0.07368421052631578,0.07446808510638298,0.038461538461538464
0.2,7,78,87,5610,0.08235294117647059,0.07446808510638298,0.040697674418604654
0.21,7,69,87,5619,0.09210526315789473,0.07446808510638298,0.04294478527607362
0.22,7,65,87,5623,0.09722222222222222,0.07446808510638298,0.0440251572327044
0.23,7,59,87,5629,0.10606060606060606,0.07446808510638298,0.0457516339869281
0.24,6,56,88,5632,0.0967741935483871,0.06382978723404255,0.04
0.25,5,50,89,5638,0.09090909090909091,0.05319148936170213,0.034722222222222224
0.26,4,44,90,5644,0.08333333333333333,0.0425531914893617,0.028985507246376812
0.27,2,33,92,5655,0.05714285714285714,0.02127659574468085,0.015748031496062992
0.28,0,26,94,5662,0.0,0.0,0.0
0.29,0,19,94,5669,0.0,0.0,0.0
0.3,0,13,94,5675,0.0,0.0,0.0
0.31,0,10,94,5678,0.0,0.0,0.0
0.32,0,9,94,5679,0.0,0.0,0.0
0.33,0,7,94,5681,0.0,0.0,0.0
0.34,0,6,94,5682,0.0,0.0,0.0
0.35000000000000003,0,6,94,5682,0.0,0.0,0.0
0.36,0,3,94,5685,0.0,0.0,0.0
0.37,0,2,94,5686,0.0,0.0,0.0
0.38,0,2,94,5686,0.0,0.0,0.0
0.39,0,1,94,5687,0.0,0.0,0.0
0.4,0,1,94,5687,0.0,0.0,0.0
0.41000000000000003,0,1,94,5687,0.0,0.0,0.0
0.42,0,1,94,5687,0.0,0.0,0.0
0.43,0,1,94,5687,0.0,0.0,0.0
0.44,0,0,94,5688,0.0,0.0,0.0
0.45,0,0,94,5688,0.0,0.0,0.0
0.46,0,0,94,5688,0.0,0.0,0.0
0.47000000000000003,0,0,94,5688,0.0,0.0,0.0
0.48,0,0,94,5688,0.0,0.0,0.0
0.49,0,0,94,5688,0.0,0.0,0.0
0.5,0,0,94,5688,0.0,0.0,0.0
0.51,0,0,94,5688,0.0,0.0,0.0
0.52,0,0,94,5688,0.0,0.0,0.0
0.53,0,0,94,5688,0.0,0.0,0.0
0.54,0,0,94,5688,0.0,0.0,0.0
0.55,0,0,94,5688,0.0,0.0,0.0
0.56,0,0,94,5688,0.0,0.0,0.0
0.5700000000000001,0,0,94,5688,0.0,0.0,0.0
0.58,0,0,94,5688,0.0,0.0,0.0
0.59,0,0,94,5688,0.0,0.0,0.0
0.6,0,0,94,5688,0.0,0.0,0.0
0.61,0,0,94,5688,0.0,0.0,0.0
0.62,0,0,94,5688,0.0,0.0,0.0
0.63,0,0,94,5688,0.0,0.0,0.0
0.64,0,0,94,5688,0.0,0.0,0.0
0.65,0,0,94,5688,0.0,0.0,0.0
0.66,0,0,94,5688,0.0,0.0,0.0
0.67,0,0,94,5688,0.0,0.0,0.0
0.68,0,0,94,5688,0.0,0.0,0.0
0.6900000000000001,0,0,94,5688,0.0,0.0,0.0
0.7000000000000001,0,0,94,5688,0.0,0.0,0.0
0.71,0,0,94,5688,0.0,0.0,0.0
0.72,0,0,94,5688,0.0,0.0,0.0
0.73,0,0,94,5688,0.0,0.0,0.0
0.74,0,0,94,5688,0.0,0.0,0.0
0.75,0,0,94,5688,0.0,0.0,0.0
0.76,0,0,94,5688,0.0,0.0,0.0
0.77,0,0,94,5688,0.0,0.0,0.0
0.78,0,0,94,5688,0.0,0.0,0.0
0.79,0,0,94,5688,0.0,0.0,0.0
0.8,0,0,94,5688,0.0,0.0,0.0
0.81,0,0,94,5688,0.0,0.0,0.0
0.8200000000000001,0,0,94,5688,0.0,0.0,0.0
0.8300000000000001,0,0,94,5688,0.0,0.0,0.0
0.84,0,0,94,5688,0.0,0.0,0.0
0.85,0,0,94,5688,0.0,0.0,0.0
0.86,0,0,94,5688,0.0,0.0,0.0
0.87,0,0,94,5688,0.0,0.0,0.0
0.88,0,0,94,5688,0.0,0.0,0.0
0.89,0,0,94,5688,0.0,0.0,0.0
0.9,0,0,94,5688,0.0,0.0,0.0
0.91,0,0,94,5688,0.0,0.0,0.0
0.92,0,0,94,5688,0.0,0.0,0.0
0.93,0,0,94,5688,0.0,0.0,0.0
0.9400000000000001,0,0,94,5688,0.0,0.0,0.0
0.9500000000000001,0,0,94,5688,0.0,0.0,0.0
0.96,0,0,94,5688,0.0,0.0,0.0
0.97,0,0,94,5688,0.0,0.0,0.0
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
