threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,90,4705,4,983,0.018769551616266946,0.9574468085106383,0.01875390706397166
0.02,86,3685,8,2003,0.022805621850967912,0.9148936170212766,0.022757343212490077
0.03,80,3064,14,2624,0.02544529262086514,0.851063829787234,0.0253324889170361
0.04,72,2600,22,3088,0.02694610778443114,0.7659574468085106,0.026726057906458798
0.05,63,2276,31,3412,0.026934587430525864,0.6702127659574468,0.026582278481012658
0.06,55,2045,39,3643,0.02619047619047619,0.5851063829787234,0.025712949976624593
0.07,51,1882,43,3806,0.02638385928608381,0.5425531914893617,0.025809716599190284
0.08,45,1738,49,3950,0.025238362310712283,0.4787234042553192,0.024563318777292575
0.09,44,1616,50,4072,0.02650602409638554,0.46808510638297873,0.025730994152046785
0.1,40,1510,54,4178,0.025806451612903226,0.425531914893617,0.02493765586034913
0.11,38,1419,56,4269,0.02608098833218943,0.40425531914893614,0.02511566424322538
0.12,36,1324,58,4364,0.026470588235294117,0.3829787234042553,0.02538787023977433
0.13,33,1240,61,4448,0.025923016496465043,0.35106382978723405,0.024737631184407798
0.14,32,1167,62,4521,0.026688907422852376,0.3404255319148936,0.025376685170499604
0.15,32,1101,62,4587,0.02824360105913504,0.3404255319148936,0.026778242677824266
0.16,31,1038,63,4650,0.028999064546304958,0.32978723404255317,0.027385159010600707
0.17,31,968,63,4720,0.031031031031031032,0.32978723404255317,0.02919020715630885
0.18,29,921,65,4767,0.030526315789473683,0.30851063829787234,0.02857142857142857
0.19,27,875,67,4813,0.02993348115299335,0.2872340425531915,0.02786377708978328
0.2,26,828,68,4860,0.03044496487119438,0.2765957446808511,0.028199566160520606
0.21,25,786,69,4902,0.030826140567200986,0.26595744680851063,0.028409090909090908
0.22,24,724,70,4964,0.03208556149732621,0.2553191489361702,0.029339853300733496
0.23,23,682,71,5006,0.032624113475177303,0.24468085106382978,0.029639175257731958
0.24,21,646,73,5042,0.031484257871064465,0.22340425531914893,0.02837837837837838
0.25,20,597,74,5091,0.03241491085899514,0.2127659574468085,0.02894356005788712
0.26,19,562,75,5126,0.03270223752151463,0.20212765957446807,0.028963414634146343
0.27,18,524,76,5164,0.033210332103321034,0.19148936170212766,0.02912621359223301
0.28,16,493,78,5195,0.03143418467583497,0.1702127659574468,0.027257240204429302
0.29,16,469,78,5219,0.032989690721649485,0.1702127659574468,0.028419182948490232
0.3,16,432,78,5256,0.03571428571428571,0.1702127659574468,0.030418250950570342
0.31,15,404,79,5284,0.03579952267303103,0.1595744680851064,0.030120481927710843
0.32,15,375,79,5313,0.038461538461538464,0.1595744680851064,0.031982942430703626
0.33,14,356,80,5332,0.03783783783783784,0.14893617021276595,0.03111111111111111
0.34,14,331,80,5357,0.04057971014492753,0.14893617021276595,0.03294117647058824
0.35000000000000003,12,307,82,5381,0.03761755485893417,0.1276595744680851,0.029925187032418952
0.36,12,286,82,5402,0.040268456375838924,0.1276595744680851,0.031578947368421054
0.37,12,262,82,5426,0.043795620437956206,0.1276595744680851,0.033707865168539325
0.38,12,245,82,5443,0.04669260700389105,0.1276595744680851,0.035398230088495575
0.39,12,236,82,5452,0.04838709677419355,0.1276595744680851,0.03636363636363636
0.4,12,222,82,5466,0.05128205128205128,0.1276595744680851,0.0379746835443038
0.41000000000000003,11,211,83,5477,0.04954954954954955,0.11702127659574468,0.036065573770491806
0.42,10,202,84,5486,0.04716981132075472,0.10638297872340426,0.033783783783783786
0.43,9,193,85,5495,0.04455445544554455,0.09574468085106383,0.0313588850174216
0.44,8,185,86,5503,0.04145077720207254,0.0851063829787234,0.02867383512544803
0.45,7,174,87,5514,0.03867403314917127,0.07446808510638298,0.026119402985074626
0.46,7,158,87,5530,0.04242424242424243,0.07446808510638298,0.027777777777777776
0.47000000000000003,7,153,87,5535,0.04375,0.07446808510638298,0.02834008097165992
0.48,7,145,87,5543,0.046052631578947366,0.07446808510638298,0.029288702928870293
0.49,7,139,87,5549,0.04794520547945205,0.07446808510638298,0.030042918454935622
0.5,6,134,88,5554,0.04285714285714286,0.06382978723404255,0.02631578947368421
0.51,6,133,88,5555,0.04316546762589928,0.06382978723404255,0.02643171806167401
0.52,6,127,88,5561,0.045112781954887216,0.06382978723404255,0.027149321266968326
0.53,6,120,88,5568,0.047619047619047616,0.06382978723404255,0.028037383177570093
0.54,6,116,88,5572,0.04918032786885246,0.06382978723404255,0.02857142857142857
0.55,6,112,88,5576,0.05084745762711865,0.06382978723404255,0.02912621359223301
0.56,6,107,88,5581,0.05309734513274336,0.06382978723404255,0.029850746268656716
0.5700000000000001,5,100,89,5588,0.047619047619047616,0.05319148936170213,0.02577319587628866
0.58,5,94,89,5594,0.050505050505050504,0.05319148936170213,0.026595744680851064
0.59,5,88,89,5600,0.053763440860215055,0.05319148936170213,0.027472527472527472
