threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,73,3277,21,2411,0.021791044776119404,0.776595744680851,0.021655295164639574
0.02,69,2753,25,2935,0.02445074415308292,0.7340425531914894,0.02423603793466807
0.03,64,2458,30,3230,0.025376685170499604,0.6808510638297872,0.025078369905956112
0.04,62,2274,32,3414,0.026541095890410957,0.6595744680851063,0.026182432432432432
0.05,60,2112,34,3576,0.027624309392265192,0.6382978723404256,0.027198549410698096
0.06,51,1975,43,3713,0.025172754195459033,0.5425531914893617,0.024649589173513776
0.07,49,1857,45,3831,0.02570828961175236,0.5212765957446809,0.025115325474115838
0.08,48,1771,46,3917,0.026388125343595383,0.5106382978723404,0.025737265415549597
0.09,47,1695,47,3993,0.0269804822043628,0.5,0.02627166014533259
0.1,45,1622,49,4066,0.026994601079784044,0.4787234042553192,0.026223776223776224
0.11,44,1561,50,4127,0.027414330218068536,0.46808510638297873,0.026586102719033233
0.12,44,1499,50,4189,0.028515878159429683,0.46808510638297873,0.027620841180163214
0.13,44,1443,50,4245,0.029589778076664425,0.46808510638297873,0.028627195836044242
0.14,44,1412,50,4276,0.03021978021978022,0.46808510638297873,0.029216467463479414
0.15,44,1381,50,4307,0.030877192982456142,0.46808510638297873,0.029830508474576273
0.16,44,1355,50,4333,0.031451036454610434,0.46808510638297873,0.03036576949620428
0.17,44,1332,50,4356,0.03197674418604651,0.46808510638297873,0.030855539971949508
0.18,43,1292,51,4396,0.03220973782771536,0.4574468085106383,0.031024531024531024
0.19,40,1267,54,4421,0.030604437643458302,0.425531914893617,0.029390154298310066
0.2,39,1244,55,4444,0.030397505845674203,0.4148936170212766,0.02914798206278027
0.21,38,1212,56,4476,0.0304,0.40425531914893614,0.02909647779479326
0.22,37,1186,57,4502,0.03025347506132461,0.39361702127659576,0.02890625
0.23,36,1159,58,4529,0.0301255230125523,0.3829787234042553,0.028731045490822026
0.24,35,1134,59,4554,0.029940119760479042,0.3723404255319149,0.028501628664495113
0.25,34,1111,60,4577,0.029694323144104803,0.3617021276595745,0.028215767634854772
0.26,34,1085,60,4603,0.03038427167113494,0.3617021276595745,0.02883799830364716
0.27,34,1057,60,4631,0.031164069660861594,0.3617021276595745,0.029539530842745437
0.28,34,1032,60,4656,0.03189493433395872,0.3617021276595745,0.03019538188277087
0.29,34,1016,60,4672,0.03238095238095238,0.3617021276595745,0.03063063063063063
0.3,33,997,61,4691,0.03203883495145631,0.35106382978723405,0.03024747937671861
0.31,32,975,62,4713,0.031777557100297914,0.3404255319148936,0.029934518241347054
0.32,32,960,62,4728,0.03225806451612903,0.3404255319148936,0.030360531309297913
0.33,32,945,62,4743,0.032753326509723645,0.3404255319148936,0.030798845043310877
0.34,32,924,62,4764,0.03347280334728033,0.3404255319148936,0.03143418467583497
