threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,76,1493,18,4195,0.04843849585723391,0.8085106382978723,0.04788909892879647
0.02,63,779,31,4909,0.07482185273159145,0.6702127659574468,0.07216494845360824
0.03,45,453,49,5235,0.09036144578313253,0.4787234042553192,0.08226691042047532
0.04,31,354,63,5334,0.08051948051948052,0.32978723404255317,0.06919642857142858
0.05,31,315,63,5373,0.08959537572254335,0.32978723404255317,0.07579462102689487
0.06,29,277,65,5411,0.09477124183006536,0.30851063829787234,0.07816711590296496
0.07,25,244,69,5444,0.09293680297397769,0.26595744680851063,0.07396449704142012
0.08,23,219,71,5469,0.09504132231404959,0.24468085106382978,0.07348242811501597
0.09,23,182,71,5506,0.11219512195121951,0.24468085106382978,0.08333333333333333
0.1,22,156,72,5532,0.12359550561797752,0.23404255319148937,0.088
0.11,21,125,73,5563,0.14383561643835616,0.22340425531914893,0.0958904109589041
0.12,15,105,79,5583,0.125,0.1595744680851064,0.07537688442211055
0.13,10,88,84,5600,0.10204081632653061,0.10638297872340426,0.054945054945054944
0.14,8,76,86,5612,0.09523809523809523,0.0851063829787234,0.047058823529411764
0.15,6,69,88,5619,0.08,0.06382978723404255,0.03680981595092025
0.16,4,62,90,5626,0.06060606060606061,0.0425531914893617,0.02564102564102564
0.17,4,58,90,5630,0.06451612903225806,0.0425531914893617,0.02631578947368421
0.18,3,52,91,5636,0.05454545454545454,0.031914893617021274,0.02054794520547945
0.19,2,40,92,5648,0.047619047619047616,0.02127659574468085,0.014925373134328358
0.2,2,34,92,5654,0.05555555555555555,0.02127659574468085,0.015625
0.21,2,26,92,5662,0.07142857142857142,0.02127659574468085,0.016666666666666666
0.22,2,24,92,5664,0.07692307692307693,0.02127659574468085,0.01694915254237288
0.23,2,23,92,5665,0.08,0.02127659574468085,0.017094017094017096
0.24,2,22,92,5666,0.08333333333333333,0.02127659574468085,0.017241379310344827
0.25,2,22,92,5666,0.08333333333333333,0.02127659574468085,0.017241379310344827
0.26,2,19,92,5669,0.09523809523809523,0.02127659574468085,0.017699115044247787
0.27,2,19,92,5669,0.09523809523809523,0.02127659574468085,0.017699115044247787
0.28,2,19,92,5669,0.09523809523809523,0.02127659574468085,0.017699115044247787
0.29,2,18,92,5670,0.1,0.02127659574468085,0.017857142857142856
0.3,2,17,92,5671,0.10526315789473684,0.02127659574468085,0.018018018018018018
0.31,2,16,92,5672,0.1111111111111111,0.02127659574468085,0.01818181818181818
0.32,2,15,92,5673,0.11764705882352941,0.02127659574468085,0.01834862385321101
0.33,2,14,92,5674,0.125,0.02127659574468085,0.018518518518518517
0.34,1,12,93,5676,0.07692307692307693,0.010638297872340425,0.009433962264150943
0.35000000000000003,0,8,94,5680,0.0,0.0,0.0
0.36,0,7,94,5681,0.0,0.0,0.0
0.37,0,4,94,5684,0.0,0.0,0.0
0.38,0,4,94,5684,0.0,0.0,0.0
0.39,0,4,94,5684,0.0,0.0,0.0
0.4,0,3,94,5685,0.0,0.0,0.0
