threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,71,1131,23,4557,0.05906821963394343,0.7553191489361702,0.05795918367346939
0.02,58,854,36,4834,0.06359649122807018,0.6170212765957447,0.06118143459915612
0.03,42,738,52,4950,0.05384615384615385,0.44680851063829785,0.05048076923076923
0.04,38,640,56,5048,0.05604719764011799,0.40425531914893614,0.051771117166212535
0.05,35,574,59,5114,0.05747126436781609,0.3723404255319149,0.05239520958083832
0.06,32,513,62,5175,0.05871559633027523,0.3404255319148936,0.05271828665568369
0.07,29,459,65,5229,0.05942622950819672,0.30851063829787234,0.05244122965641953
0.08,28,414,66,5274,0.06334841628959276,0.2978723404255319,0.05511811023622047
0.09,25,381,69,5307,0.06157635467980296,0.26595744680851063,0.05263157894736842
0.1,18,358,76,5330,0.047872340425531915,0.19148936170212766,0.03982300884955752
0.11,16,331,78,5357,0.04610951008645533,0.1702127659574468,0.03764705882352941
0.12,15,305,79,5383,0.046875,0.1595744680851064,0.03759398496240601
0.13,12,281,82,5407,0.040955631399317405,0.1276595744680851,0.032
0.14,10,266,84,5422,0.036231884057971016,0.10638297872340426,0.027777777777777776
0.15,10,248,84,5440,0.03875968992248062,0.10638297872340426,0.029239766081871343
0.16,9,240,85,5448,0.03614457831325301,0.09574468085106383,0.02694610778443114
0.17,9,225,85,5463,0.038461538461538464,0.09574468085106383,0.02821316614420063
0.18,9,215,85,5473,0.04017857142857143,0.09574468085106383,0.02912621359223301
0.19,9,207,85,5481,0.041666666666666664,0.09574468085106383,0.029900332225913623
0.2,9,204,85,5484,0.04225352112676056,0.09574468085106383,0.030201342281879196
0.21,9,192,85,5496,0.04477611940298507,0.09574468085106383,0.03146853146853147
0.22,9,192,85,5496,0.04477611940298507,0.09574468085106383,0.03146853146853147
0.23,9,189,85,5499,0.045454545454545456,0.09574468085106383,0.03180212014134275
0.24,9,178,85,5510,0.0481283422459893,0.09574468085106383,0.03308823529411765
0.25,9,173,85,5515,0.04945054945054945,0.09574468085106383,0.033707865168539325
0.26,9,169,85,5519,0.05056179775280899,0.09574468085106383,0.034220532319391636
0.27,9,163,85,5525,0.05232558139534884,0.09574468085106383,0.03501945525291829
0.28,9,156,85,5532,0.05454545454545454,0.09574468085106383,0.036
0.29,9,151,85,5537,0.05625,0.09574468085106383,0.036734693877551024
0.3,9,142,85,5546,0.059602649006622516,0.09574468085106383,0.038135593220338986
0.31,9,138,85,5550,0.061224489795918366,0.09574468085106383,0.03879310344827586
0.32,9,133,85,5555,0.06338028169014084,0.09574468085106383,0.039647577092511016
0.33,9,128,85,5560,0.06569343065693431,0.09574468085106383,0.04054054054054054
0.34,9,125,85,5563,0.06716417910447761,0.09574468085106383,0.0410958904109589
0.35000000000000003,8,119,86,5569,0.06299212598425197,0.0851063829787234,0.03755868544600939
0.36,8,116,86,5572,0.06451612903225806,0.0851063829787234,0.0380952380952381
0.37,8,108,86,5580,0.06896551724137931,0.0851063829787234,0.039603960396039604
0.38,8,105,86,5583,0.07079646017699115,0.0851063829787234,0.04020100502512563
0.39,8,102,86,5586,0.07272727272727272,0.0851063829787234,0.04081632653061224
0.4,8,99,86,5589,0.07476635514018691,0.0851063829787234,0.04145077720207254
0.41000000000000003,8,98,86,5590,0.07547169811320754,0.0851063829787234,0.041666666666666664
0.42,8,96,86,5592,0.07692307692307693,0.0851063829787234,0.042105263157894736
0.43,8,94,86,5594,0.0784313725490196,0.0851063829787234,0.0425531914893617
0.44,8,94,86,5594,0.0784313725490196,0.0851063829787234,0.0425531914893617
0.45,8,91,86,5597,0.08080808080808081,0.0851063829787234,0.043243243243243246
0.46,8,89,86,5599,0.08247422680412371,0.0851063829787234,0.04371584699453552
0.47000000000000003,8,88,86,5600,0.08333333333333333,0.0851063829787234,0.04395604395604396
0.48,8,85,86,5603,0.08602150537634409,0.0851063829787234,0.0446927374301676
0.49,8,85,86,5603,0.08602150537634409,0.0851063829787234,0.0446927374301676
0.5,8,79,86,5609,0.09195402298850575,0.0851063829787234,0.046242774566473986
0.51,8,71,86,5617,0.10126582278481013,0.0851063829787234,0.048484848484848485
0.52,7,68,87,5620,0.09333333333333334,0.07446808510638298,0.043209876543209874
0.53,7,65,87,5623,0.09722222222222222,0.07446808510638298,0.0440251572327044
0.54,7,60,87,5628,0.1044776119402985,0.07446808510638298,0.045454545454545456
0.55,6,59,88,5629,0.09230769230769231,0.06382978723404255,0.0392156862745098
0.56,6,59,88,5629,0.09230769230769231,0.06382978723404255,0.0392156862745098
0.5700000000000001,6,49,88,5639,0.10909090909090909,0.06382978723404255,0.04195804195804196
0.58,6,45,88,5643,0.11764705882352941,0.06382978723404255,0.04316546762589928
0.59,6,41,88,5647,0.1276595744680851,0.06382978723404255,0.044444444444444446
0.6,6,41,88,5647,0.1276595744680851,0.06382978723404255,0.044444444444444446
0.61,6,38,88,5650,0.13636363636363635,0.06382978723404255,0.045454545454545456
0.62,6,38,88,5650,0.13636363636363635,0.06382978723404255,0.045454545454545456
0.63,6,36,88,5652,0.14285714285714285,0.06382978723404255,0.046153846153846156
0.64,6,36,88,5652,0.14285714285714285,0.06382978723404255,0.046153846153846156
0.65,6,35,88,5653,0.14634146341463414,0.06382978723404255,0.046511627906976744
0.66,6,34,88,5654,0.15,0.06382978723404255,0.046875
0.67,6,34,88,5654,0.15,0.06382978723404255,0.046875
0.68,6,34,88,5654,0.15,0.06382978723404255,0.046875
0.6900000000000001,5,32,89,5656,0.13513513513513514,0.05319148936170213,0.03968253968253968
0.7000000000000001,5,32,89,5656,0.13513513513513514,0.05319148936170213,0.03968253968253968
0.71,4,32,90,5656,0.1111111111111111,0.0425531914893617,0.031746031746031744
0.72,4,31,90,5657,0.11428571428571428,0.0425531914893617,0.032
0.73,4,30,90,5658,0.11764705882352941,0.0425531914893617,0.03225806451612903
0.74,4,29,90,5659,0.12121212121212122,0.0425531914893617,0.032520325203252036
0.75,4,29,90,5659,0.12121212121212122,0.0425531914893617,0.032520325203252036
0.76,4,29,90,5659,0.12121212121212122,0.0425531914893617,0.032520325203252036
0.77,4,28,90,5660,0.125,0.0425531914893617,0.03278688524590164
0.78,4,24,90,5664,0.14285714285714285,0.0425531914893617,0.03389830508474576
0.79,4,20,90,5668,0.16666666666666666,0.0425531914893617,0.03508771929824561
0.8,4,19,90,5669,0.17391304347826086,0.0425531914893617,0.035398230088495575
0.81,4,16,90,5672,0.2,0.0425531914893617,0.03636363636363636
0.8200000000000001,4,13,90,5675,0.23529411764705882,0.0425531914893617,0.037383177570093455
0.8300000000000001,3,10,91,5678,0.23076923076923078,0.031914893617021274,0.028846153846153848
0.84,3,9,91,5679,0.25,0.031914893617021274,0.02912621359223301
0.85,3,7,91,5681,0.3,0.031914893617021274,0.0297029702970297
0.86,3,7,91,5681,0.3,0.031914893617021274,0.0297029702970297
0.87,3,5,91,5683,0.375,0.031914893617021274,0.030303030303030304
0.88,3,4,91,5684,0.42857142857142855,0.031914893617021274,0.030612244897959183
0.89,3,3,91,5685,0.5,0.031914893617021274,0.030927835051546393
0.9,2,3,92,5685,0.4,0.02127659574468085,0.020618556701030927
0.91,0,2,94,5686,0.0,0.0,0.0
0.92,0,0,94,5688,0.0,0.0,0.0
0.93,0,0,94,5688,0.0,0.0,0.0
0.9400000000000001,0,0,94,5688,0.0,0.0,0.0
0.9500000000000001,0,0,94,5688,0.0,0.0,0.0
0.96,0,0,94,5688,0.0,0.0,0.0
0.97,0,0,94,5688,0.0,0.0,0.0
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
