threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.02,94,5345,0,343,0.01728258871116014,1.0,0.01728258871116014
0.03,94,4583,0,1105,0.02009835364549925,1.0,0.02009835364549925
0.04,94,3946,0,1742,0.023267326732673267,1.0,0.023267326732673267
0.05,92,3404,2,2284,0.02631578947368421,0.9787234042553191,0.026300743281875358
0.06,88,3022,6,2666,0.02829581993569132,0.9361702127659575,0.028241335044929396
0.07,86,2689,8,2999,0.03099099099099099,0.9148936170212766,0.03090190441969098
0.08,85,2495,9,3193,0.03294573643410853,0.9042553191489362,0.032831208960988796
0.09,83,2305,11,3383,0.0347571189279732,0.8829787234042553,0.03459774906210921
0.1,83,2150,11,3538,0.03716972682489924,0.8829787234042553,0.03698752228163993
0.11,82,2017,12,3671,0.03906622201048118,0.8723404255319149,0.038844149692089054
0.12,81,1897,13,3791,0.04095045500505561,0.8617021276595744,0.040683073832245106
0.13,80,1787,14,3901,0.04284949116229245,0.851063829787234,0.04253056884635832
0.14,80,1700,14,3988,0.0449438202247191,0.851063829787234,0.044593088071348944
0.15,80,1596,14,4092,0.0477326968973747,0.851063829787234,0.047337278106508875
0.16,80,1499,14,4189,0.0506649778340722,0.851063829787234,0.050219711236660386
0.17,80,1382,14,4306,0.05471956224350205,0.851063829787234,0.05420054200542006
0.18,80,1300,14,4388,0.057971014492753624,0.851063829787234,0.05738880918220947
0.19,79,1226,15,4462,0.06053639846743295,0.8404255319148937,0.059848484848484845
0.2,76,1159,18,4529,0.06153846153846154,0.8085106382978723,0.060654429369513166
0.21,74,1097,20,4591,0.0631938514090521,0.7872340425531915,0.06213266162888329
0.22,74,1020,20,4668,0.06764168190127971,0.7872340425531915,0.06642728904847396
0.23,72,964,22,4724,0.0694980694980695,0.7659574468085106,0.06805293005671077
0.24,72,901,22,4787,0.07399794450154162,0.7659574468085106,0.07236180904522613
0.25,71,847,23,4841,0.07734204793028322,0.7553191489361702,0.07545164718384698
0.26,69,774,25,4914,0.08185053380782918,0.7340425531914894,0.07949308755760369
0.27,65,725,29,4963,0.08227848101265822,0.6914893617021277,0.07936507936507936
0.28,63,675,31,5013,0.08536585365853659,0.6702127659574468,0.08192457737321196
0.29,62,625,32,5063,0.09024745269286755,0.6595744680851063,0.08623087621696801
0.3,62,580,32,5108,0.09657320872274143,0.6595744680851063,0.09198813056379822
0.31,59,532,35,5156,0.09983079526226735,0.6276595744680851,0.09424920127795527
0.32,56,488,38,5200,0.10294117647058823,0.5957446808510638,0.09621993127147767
0.33,52,456,42,5232,0.10236220472440945,0.5531914893617021,0.09454545454545454
0.34,51,413,43,5275,0.10991379310344827,0.5425531914893617,0.10059171597633136
0.35000000000000003,50,383,44,5305,0.11547344110854503,0.5319148936170213,0.10482180293501048
0.36,49,353,45,5335,0.12189054726368159,0.5212765957446809,0.10961968680089486
0.37,47,334,47,5354,0.12335958005249344,0.5,0.10981308411214953
0.38,43,304,51,5384,0.1239193083573487,0.4574468085106383,0.10804020100502512
0.39,41,282,53,5406,0.12693498452012383,0.43617021276595747,0.10904255319148937
0.4,41,266,53,5422,0.13355048859934854,0.43617021276595747,0.11388888888888889
0.41000000000000003,40,248,54,5440,0.1388888888888889,0.425531914893617,0.11695906432748537
0.42,38,234,56,5454,0.13970588235294118,0.40425531914893614,0.11585365853658537
0.43,32,210,62,5478,0.1322314049586777,0.3404255319148936,0.10526315789473684
0.44,30,193,64,5495,0.13452914798206278,0.3191489361702128,0.10452961672473868
0.45,26,165,68,5523,0.13612565445026178,0.2765957446808511,0.10038610038610038
0.46,24,153,70,5535,0.13559322033898305,0.2553191489361702,0.09716599190283401
