threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,42,1237,52,4451,0.0328381548084441,0.44680851063829785,0.03155522163786627
0.02,32,762,62,4926,0.04030226700251889,0.3404255319148936,0.037383177570093455
0.03,28,535,66,5153,0.0497335701598579,0.2978723404255319,0.04451510333863275
0.04,27,419,67,5269,0.06053811659192825,0.2872340425531915,0.05263157894736842
0.05,26,357,68,5331,0.06788511749347259,0.2765957446808511,0.057649667405764965
0.06,20,305,74,5383,0.06153846153846154,0.2127659574468085,0.05012531328320802
0.07,18,263,76,5425,0.06405693950177936,0.19148936170212766,0.05042016806722689
0.08,16,236,78,5452,0.06349206349206349,0.1702127659574468,0.048484848484848485
0.09,13,213,81,5475,0.05752212389380531,0.13829787234042554,0.04234527687296417
0.1,12,194,82,5494,0.05825242718446602,0.1276595744680851,0.041666666666666664
0.11,11,171,83,5517,0.06043956043956044,0.11702127659574468,0.04150943396226415
0.12,11,158,83,5530,0.0650887573964497,0.11702127659574468,0.04365079365079365
0.13,10,147,84,5541,0.06369426751592357,0.10638297872340426,0.04149377593360996
0.14,8,138,86,5550,0.0547945205479452,0.0851063829787234,0.034482758620689655
0.15,7,130,87,5558,0.051094890510948905,0.07446808510638298,0.03125
0.16,4,126,90,5562,0.03076923076923077,0.0425531914893617,0.01818181818181818
0.17,3,120,91,5568,0.024390243902439025,0.031914893617021274,0.014018691588785047
0.18,3,110,91,5578,0.02654867256637168,0.031914893617021274,0.014705882352941176
0.19,3,101,91,5587,0.028846153846153848,0.031914893617021274,0.015384615384615385
0.2,3,94,91,5594,0.030927835051546393,0.031914893617021274,0.015957446808510637
0.21,3,90,91,5598,0.03225806451612903,0.031914893617021274,0.016304347826086956
0.22,3,82,91,5606,0.03529411764705882,0.031914893617021274,0.017045454545454544
0.23,3,78,91,5610,0.037037037037037035,0.031914893617021274,0.01744186046511628
0.24,3,76,91,5612,0.0379746835443038,0.031914893617021274,0.01764705882352941
0.25,3,74,91,5614,0.03896103896103896,0.031914893617021274,0.017857142857142856
0.26,3,72,91,5616,0.04,0.031914893617021274,0.018072289156626505
0.27,3,67,91,5621,0.04285714285714286,0.031914893617021274,0.018633540372670808
0.28,2,64,92,5624,0.030303030303030304,0.02127659574468085,0.012658227848101266
0.29,2,62,92,5626,0.03125,0.02127659574468085,0.01282051282051282
0.3,2,59,92,5629,0.03278688524590164,0.02127659574468085,0.013071895424836602
0.31,2,55,92,5633,0.03508771929824561,0.02127659574468085,0.013422818791946308
0.32,2,49,92,5639,0.0392156862745098,0.02127659574468085,0.013986013986013986
0.33,2,46,92,5642,0.041666666666666664,0.02127659574468085,0.014285714285714285
0.34,2,43,92,5645,0.044444444444444446,0.02127659574468085,0.014598540145985401
0.35000000000000003,2,39,92,5649,0.04878048780487805,0.02127659574468085,0.015037593984962405
0.36,2,38,92,5650,0.05,0.02127659574468085,0.015151515151515152
0.37,2,35,92,5653,0.05405405405405406,0.02127659574468085,0.015503875968992248
0.38,2,35,92,5653,0.05405405405405406,0.02127659574468085,0.015503875968992248
0.39,2,35,92,5653,0.05405405405405406,0.02127659574468085,0.015503875968992248
0.4,2,33,92,5655,0.05714285714285714,0.02127659574468085,0.015748031496062992
0.41000000000000003,2,31,92,5657,0.06060606060606061,0.02127659574468085,0.016
0.42,2,29,92,5659,0.06451612903225806,0.02127659574468085,0.016260162601626018
0.43,2,27,92,5661,0.06896551724137931,0.02127659574468085,0.01652892561983471
0.44,2,25,92,5663,0.07407407407407407,0.02127659574468085,0.01680672268907563
0.45,2,24,92,5664,0.07692307692307693,0.02127659574468085,0.01694915254237288
0.46,1,23,93,5665,0.041666666666666664,0.010638297872340425,0.008547008547008548
0.47000000000000003,0,22,94,5666,0.0,0.0,0.0
0.48,0,19,94,5669,0.0,0.0,0.0
0.49,0,18,94,5670,0.0,0.0,0.0
0.5,0,18,94,5670,0.0,0.0,0.0
0.51,0,17,94,5671,0.0,0.0,0.0
0.52,0,16,94,5672,0.0,0.0,0.0
0.53,0,16,94,5672,0.0,0.0,0.0
0.54,0,15,94,5673,0.0,0.0,0.0
0.55,0,13,94,5675,0.0,0.0,0.0
0.56,0,12,94,5676,0.0,0.0,0.0
0.5700000000000001,0,12,94,5676,0.0,0.0,0.0
0.58,0,12,94,5676,0.0,0.0,0.0
0.59,0,12,94,5676,0.0,0.0,0.0
0.6,0,11,94,5677,0.0,0.0,0.0
0.61,0,10,94,5678,0.0,0.0,0.0
0.62,0,10,94,5678,0.0,0.0,0.0
0.63,0,9,94,5679,0.0,0.0,0.0
0.64,0,9,94,5679,0.0,0.0,0.0
0.65,0,7,94,5681,0.0,0.0,0.0
0.66,0,7,94,5681,0.0,0.0,0.0
0.67,0,7,94,5681,0.0,0.0,0.0
0.68,0,6,94,5682,0.0,0.0,0.0
0.6900000000000001,0,6,94,5682,0.0,0.0,0.0
0.7000000000000001,0,4,94,5684,0.0,0.0,0.0
0.71,0,4,94,5684,0.0,0.0,0.0
0.72,0,3,94,5685,0.0,0.0,0.0
0.73,0,3,94,5685,0.0,0.0,0.0
0.74,0,1,94,5687,0.0,0.0,0.0
0.75,0,0,94,5688,0.0,0.0,0.0
0.76,0,0,94,5688,0.0,0.0,0.0
0.77,0,0,94,5688,0.0,0.0,0.0
0.78,0,0,94,5688,0.0,0.0,0.0
0.79,0,0,94,5688,0.0,0.0,0.0
0.8,0,0,94,5688,0.0,0.0,0.0
0.81,0,0,94,5688,0.0,0.0,0.0
0.8200000000000001,0,0,94,5688,0.0,0.0,0.0
0.8300000000000001,0,0,94,5688,0.0,0.0,0.0
0.84,0,0,94,5688,0.0,0.0,0.0
0.85,0,0,94,5688,0.0,0.0,0.0
0.86,0,0,94,5688,0.0,0.0,0.0
0.87,0,0,94,5688,0.0,0.0,0.0
0.88,0,0,94,5688,0.0,0.0,0.0
0.89,0,0,94,5688,0.0,0.0,0.0
0.9,0,0,94,5688,0.0,0.0,0.0
0.91,0,0,94,5688,0.0,0.0,0.0
0.92,0,0,94,5688,0.0,0.0,0.0
0.93,0,0,94,5688,0.0,0.0,0.0
0.9400000000000001,0,0,94,5688,0.0,0.0,0.0
0.9500000000000001,0,0,94,5688,0.0,0.0,0.0
0.96,0,0,94,5688,0.0,0.0,0.0
0.97,0,0,94,5688,0.0,0.0,0.0
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
