threshold,tp,fp,fn,tn,precision,recall,csi
0.0,94,5688,0,0,0.016257350397786235,1.0,0.016257350397786235
0.01,80,1479,14,4209,0.05131494547787043,0.851063829787234,0.0508582326764145
0.02,65,1012,29,4676,0.060352831940575676,0.6914893617021277,0.05877034358047016
0.03,62,792,32,4896,0.07259953161592506,0.6595744680851063,0.06997742663656885
0.04,57,665,37,5023,0.07894736842105263,0.6063829787234043,0.07509881422924901
0.05,54,592,40,5096,0.08359133126934984,0.574468085106383,0.07871720116618076
0.06,50,529,44,5159,0.08635578583765112,0.5319148936170213,0.08025682182985554
0.07,50,481,44,5207,0.09416195856873823,0.5319148936170213,0.08695652173913043
0.08,46,440,48,5248,0.09465020576131687,0.48936170212765956,0.08614232209737828
0.09,42,404,52,5284,0.09417040358744394,0.44680851063829785,0.08433734939759036
0.1,40,378,54,5310,0.09569377990430622,0.425531914893617,0.0847457627118644
0.11,39,358,55,5330,0.0982367758186398,0.4148936170212766,0.08628318584070796
0.12,37,337,57,5351,0.09893048128342247,0.39361702127659576,0.08584686774941995
0.13,35,318,59,5370,0.09915014164305949,0.3723404255319149,0.08495145631067962
0.14,35,303,59,5385,0.10355029585798817,0.3723404255319149,0.08816120906801007
0.15,35,280,59,5408,0.1111111111111111,0.3723404255319149,0.09358288770053476
0.16,33,271,61,5417,0.10855263157894737,0.35106382978723405,0.09041095890410959
0.17,27,261,67,5427,0.09375,0.2872340425531915,0.07605633802816901
0.18,25,253,69,5435,0.08992805755395683,0.26595744680851063,0.07204610951008646
0.19,24,245,70,5443,0.08921933085501858,0.2553191489361702,0.07079646017699115
0.2,23,231,71,5457,0.09055118110236221,0.24468085106382978,0.07076923076923076
0.21,21,221,73,5467,0.08677685950413223,0.22340425531914893,0.06666666666666667
0.22,20,214,74,5474,0.08547008547008547,0.2127659574468085,0.06493506493506493
0.23,20,208,74,5480,0.08771929824561403,0.2127659574468085,0.06622516556291391
0.24,19,202,75,5486,0.08597285067873303,0.20212765957446807,0.06418918918918919
0.25,17,188,77,5500,0.08292682926829269,0.18085106382978725,0.06028368794326241
0.26,17,182,77,5506,0.08542713567839195,0.18085106382978725,0.06159420289855073
0.27,15,174,79,5514,0.07936507936507936,0.1595744680851064,0.055970149253731345
0.28,15,169,79,5519,0.08152173913043478,0.1595744680851064,0.057034220532319393
0.29,15,159,79,5529,0.08620689655172414,0.1595744680851064,0.05928853754940711
0.3,15,155,79,5533,0.08823529411764706,0.1595744680851064,0.060240963855421686
0.31,15,151,79,5537,0.09036144578313253,0.1595744680851064,0.061224489795918366
0.32,15,142,79,5546,0.09554140127388536,0.1595744680851064,0.0635593220338983
0.33,13,135,81,5553,0.08783783783783784,0.13829787234042554,0.056768558951965066
0.34,12,133,82,5555,0.08275862068965517,0.1276595744680851,0.05286343612334802
0.35000000000000003,11,130,83,5558,0.07801418439716312,0.11702127659574468,0.049107142857142856
0.36,11,128,83,5560,0.07913669064748201,0.11702127659574468,0.04954954954954955
0.37,10,126,84,5562,0.07352941176470588,0.10638297872340426,0.045454545454545456
0.38,9,122,85,5566,0.06870229007633588,0.09574468085106383,0.041666666666666664
0.39,9,119,85,5569,0.0703125,0.09574468085106383,0.04225352112676056
0.4,9,115,85,5573,0.07258064516129033,0.09574468085106383,0.0430622009569378
0.41000000000000003,9,108,85,5580,0.07692307692307693,0.09574468085106383,0.04455445544554455
0.42,8,105,86,5583,0.07079646017699115,0.0851063829787234,0.04020100502512563
0.43,8,104,86,5584,0.07142857142857142,0.0851063829787234,0.04040404040404041
0.44,8,102,86,5586,0.07272727272727272,0.0851063829787234,0.04081632653061224
0.45,8,99,86,5589,0.07476635514018691,0.0851063829787234,0.04145077720207254
0.46,8,98,86,5590,0.07547169811320754,0.0851063829787234,0.041666666666666664
0.47000000000000003,7,96,87,5592,0.06796116504854369,0.07446808510638298,0.03684210526315789
0.48,7,96,87,5592,0.06796116504854369,0.07446808510638298,0.03684210526315789
0.49,6,94,88,5594,0.06,0.06382978723404255,0.031914893617021274
0.5,6,92,88,5596,0.061224489795918366,0.06382978723404255,0.03225806451612903
0.51,6,89,88,5599,0.06315789473684211,0.06382978723404255,0.03278688524590164
0.52,5,87,89,5601,0.05434782608695652,0.05319148936170213,0.027624309392265192
0.53,5,83,89,5605,0.056818181818181816,0.05319148936170213,0.02824858757062147
0.54,4,80,90,5608,0.047619047619047616,0.0425531914893617,0.022988505747126436
0.55,4,79,90,5609,0.04819277108433735,0.0425531914893617,0.023121387283236993
0.56,4,77,90,5611,0.04938271604938271,0.0425531914893617,0.023391812865497075
0.5700000000000001,4,76,90,5612,0.05,0.0425531914893617,0.023529411764705882
0.58,4,76,90,5612,0.05,0.0425531914893617,0.023529411764705882
0.59,4,76,90,5612,0.05,0.0425531914893617,0.023529411764705882
0.6,4,75,90,5613,0.05063291139240506,0.0425531914893617,0.023668639053254437
0.61,4,71,90,5617,0.05333333333333334,0.0425531914893617,0.024242424242424242
0.62,4,68,90,5620,0.05555555555555555,0.0425531914893617,0.024691358024691357
0.63,4,68,90,5620,0.05555555555555555,0.0425531914893617,0.024691358024691357
0.64,4,63,90,5625,0.05970149253731343,0.0425531914893617,0.025477707006369428
0.65,4,61,90,5627,0.06153846153846154,0.0425531914893617,0.025806451612903226
0.66,4,58,90,5630,0.06451612903225806,0.0425531914893617,0.02631578947368421
0.67,4,56,90,5632,0.06666666666666667,0.0425531914893617,0.02666666666666667
0.68,4,54,90,5634,0.06896551724137931,0.0425531914893617,0.02702702702702703
0.6900000000000001,4,52,90,5636,0.07142857142857142,0.0425531914893617,0.0273972602739726
0.7000000000000001,4,49,90,5639,0.07547169811320754,0.0425531914893617,0.027972027972027972
0.71,4,47,90,5641,0.0784313725490196,0.0425531914893617,0.028368794326241134
0.72,4,46,90,5642,0.08,0.0425531914893617,0.02857142857142857
0.73,4,44,90,5644,0.08333333333333333,0.0425531914893617,0.028985507246376812
0.74,4,43,90,5645,0.0851063829787234,0.0425531914893617,0.029197080291970802
0.75,4,43,90,5645,0.0851063829787234,0.0425531914893617,0.029197080291970802
0.76,4,41,90,5647,0.08888888888888889,0.0425531914893617,0.02962962962962963
0.77,4,39,90,5649,0.09302325581395349,0.0425531914893617,0.03007518796992481
