model,sampling,split,threshold,tp,fp,fn,tn,precision,recall,csi,delta_csi_vs_standard,relative_csi_change_pct,weighted_bce,c48_diagnostic_best_threshold,c48_diagnostic_best_csi
SAT,standard,temporal_test,0.5000000000000001,199,418,238,37889,0.3225283630470016,0.45537757437070936,0.2327485380116959,0.0,0.0,0.1059,,
SAT,standard,spatial_test,0.5000000000000001,4,42,90,5646,0.08695652173913043,0.0425531914893617,0.029411764705882353,0.0,0.0,0.3721,0.34,0.040268456375838924
SAT,station_balanced,temporal_test,0.5300000000000001,157,401,280,37906,0.28136200716845877,0.35926773455377575,0.1873508353221957,-0.04539770268950019,-19.505043115338026,0.1084,,
SAT,station_balanced,spatial_test,0.5300000000000001,27,613,67,5075,0.0421875,0.2872340425531915,0.03818953323903819,0.008777768533155837,29.84441301272984,0.439,0.71,0.05275779376498801
SAT,event_balanced,temporal_test,0.6100000000000001,126,217,311,38090,0.3673469387755102,0.28832951945080093,0.1926605504587156,-0.04008798755298029,-17.223733345627213,0.1145,,
SAT,event_balanced,spatial_test,0.6100000000000001,0,0,94,5688,0.0,0.0,0.0,-0.029411764705882353,-100.0,0.4077,0.23,0.0457516339869281
GROUND,standard,temporal_test,0.7000000000000002,256,358,181,37949,0.4169381107491857,0.585812356979405,0.3220125786163522,0.0,0.0,0.0969,,
GROUND,standard,spatial_test,0.7000000000000002,5,32,89,5656,0.13513513513513514,0.05319148936170213,0.03968253968253968,0.0,0.0,0.336,0.02,0.06118143459915612
GROUND,station_balanced,temporal_test,0.6000000000000002,283,510,154,37797,0.35687263556116017,0.6475972540045767,0.2988384371700106,-0.023174141446341612,-7.19665720696937,0.0935,,
GROUND,station_balanced,spatial_test,0.6000000000000002,4,32,90,5656,0.1111111111111111,0.0425531914893617,0.031746031746031744,-0.007936507936507936,-19.999999999999996,0.2957,0.11,0.09433962264150944
GROUND,event_balanced,temporal_test,0.5400000000000001,267,518,170,37789,0.3401273885350318,0.6109839816933639,0.27958115183246074,-0.042431426783891446,-13.176946989528792,0.0981,,
GROUND,event_balanced,spatial_test,0.5400000000000001,0,0,94,5688,0.0,0.0,0.0,-0.03968253968253968,-100.0,0.3052,0.11,0.0958904109589041
SAT_GROUND,standard,temporal_test,0.6100000000000001,283,572,154,37735,0.3309941520467836,0.6475972540045767,0.2804757185332012,0.0,0.0,0.0899,,
SAT_GROUND,standard,spatial_test,0.6100000000000001,11,92,83,5596,0.10679611650485436,0.11702127659574468,0.05913978494623656,0.0,0.0,0.376,0.1,0.07
SAT_GROUND,station_balanced,temporal_test,0.5500000000000002,273,643,164,37664,0.2980349344978166,0.6247139588100686,0.25277777777777777,-0.027697940755423422,-9.87534354142129,0.0947,,
SAT_GROUND,station_balanced,spatial_test,0.5500000000000002,4,79,90,5609,0.04819277108433735,0.0425531914893617,0.023121387283236993,-0.036018397662999566,-60.90383604834473,0.2804,0.15,0.09358288770053476
SAT_GROUND,event_balanced,temporal_test,0.4700000000000001,286,928,151,37379,0.2355848434925865,0.6544622425629291,0.20952380952380953,-0.07095190900939166,-25.2969880531718,0.1013,,
SAT_GROUND,event_balanced,spatial_test,0.4700000000000001,0,22,94,5666,0.0,0.0,0.0,-0.05913978494623656,-100.0,0.3888,0.05,0.057649667405764965
