minutes,validation,test_month,train_n,val_n,test_n,fog_targets,best_epoch,gru_rmse,gru_mae,persistence_rmse,persistence_mae
10,seasonal_all_targets,6,5772,1555,1090,0,30,18.92757797241211,16.252307891845703,13.593523979187012,8.792248725891113
10,seasonal_all_targets,12,5772,1555,513,0,30,23.025466918945312,20.047773361206055,13.53104305267334,7.68069314956665
10,seasonal_all_targets,all,5772,1555,1603,0,30,20.329082489013672,17.466951370239258,13.573559761047363,8.436522483825684
30,seasonal_all_targets,6,4057,1086,634,0,30,20.133243560791016,17.366600036621094,12.895183563232422,7.928433895111084
30,seasonal_all_targets,12,4057,1086,430,0,30,23.70662498474121,20.750629425048828,16.194355010986328,9.132448196411133
30,seasonal_all_targets,all,4057,1086,1064,0,30,21.648509979248047,18.73420524597168,14.320306777954102,8.415019035339355
10,march_september,6,1921,517,358,0,30,25.160552978515625,21.33937644958496,14.371763229370117,9.005603790283203
10,march_september,12,1921,517,167,0,30,26.500303268432617,22.766860961914062,13.063033103942871,7.53958797454834
10,march_september,all,1921,517,525,0,30,25.594327926635742,21.793453216552734,13.968767166137695,8.539270401000977
30,march_september,6,1921,517,358,0,30,24.87972640991211,21.111785888671875,14.371763229370117,9.005603790283203
30,march_september,12,1921,517,167,0,30,26.288070678710938,22.586566925048828,13.063033103942871,7.53958797454834
30,march_september,all,1921,517,525,0,30,25.336204528808594,21.580907821655273,13.968767166137695,8.539270401000977
10,october,6,2217,221,358,0,30,23.557003021240234,20.07159423828125,14.371763229370117,9.005603790283203
10,october,12,2217,221,167,0,30,25.32826042175293,21.76344108581543,13.063033103942871,7.53958797454834
10,october,all,2217,221,525,0,30,24.13453483581543,20.60976219177246,13.968767166137695,8.539270401000977
30,october,6,2217,221,358,0,30,23.32052993774414,19.892820358276367,14.371763229370117,9.005603790283203
30,october,12,2217,221,167,0,30,25.16521453857422,21.636024475097656,13.063033103942871,7.53958797454834
30,october,all,2217,221,525,0,30,23.922746658325195,20.44732666015625,13.968767166137695,8.539270401000977
10,october_nov_dec_shared,11,2536,221,39,0,30,21.14937973022461,16.25749397277832,9.679145812988281,6.143184185028076
10,october_nov_dec_shared,12,2536,221,167,0,30,24.73955726623535,21.317031860351562,13.063033103942871,7.53958797454834
10,october_nov_dec_shared,all,2536,221,206,0,30,24.10093879699707,20.359159469604492,12.492931365966797,7.275219917297363
30,october_nov_dec_shared,11,2536,221,39,0,30,21.124135971069336,16.320161819458008,9.679145812988281,6.143184185028076
30,october_nov_dec_shared,12,2536,221,167,0,30,24.61264419555664,21.242698669433594,13.063033103942871,7.53958797454834
30,october_nov_dec_shared,all,2536,221,206,0,30,23.99115753173828,20.310762405395508,12.492931365966797,7.275219917297363
10,original_all_targets,11,7707,659,114,0,29,19.15578842163086,17.09248924255371,11.699970245361328,7.15764856338501
10,original_all_targets,12,7707,659,517,0,29,22.6956787109375,19.543249130249023,13.51855182647705,7.693925380706787
10,original_all_targets,all,7707,659,631,0,29,22.0981502532959,19.100479125976562,13.208540916442871,7.597038745880127
